Country,Year Enacted,Scope,Length (in Words),Executive Power,Legislative Power,Judicial Independence,Number of Rights,Preamble
Cape Verde,1980,0.76,"32,132",5,0.43,1,87,"The Proclamation of National Independence is one of the supreme moments in the History of the Cape Verdian nation, resulting in the revitalization of our people, who have undergone the same vicissitudes of fate but who share the persistent hope of creating in these islands proper living conditions for all of our children. Independence has also allowed Cape Verde to become a full member of the international community. However, the affirmation of an independent state was not accompanied by the establishment of a regime characterized by pluralistic democracy, but rather the organization of political power was subject to the philosophy and principles of a single party. The exercise of power in this framework has demonstrated, on a universal scale, the necessity of introducing profound changes in the organization of the political and social life of these States. New ideas assail the world, destroying structures and concepts which seemed solidly established, completely changing the course of international political events. In Cape Verde, political opening was announced in 1990, with the creation of the institutional conditions required for the first presidential and legislative elections within the framework of political competition. Thus, on September 28, the National Popular Assembly approved Constitutional Law No. 2/III/90, which, in revoking Article 4 of the Constitution and establishing the principle of pluralism, created a new type of political regime. Conceived as a means to revitalize democratic elections and a transition towards a new model for the organization of the political and social life of the country, it also established a different system of government and another form of suffrage, in view of imminent elections for a new legislative assembly. It was in this context that the first legislative elections took place in January 1991, followed by Presidential elections in February. The participation of the population in these elections demonstrated clearly the country&#x27;s option in the direction of change of political regime. However, the historical context in which, by means of a partial revision of the Constitution, parties were recognized as the principal instruments for the formation of political will in government, has led to a pluralistic democracy which continues to function under the rules and principles of the previous regime. Nevertheless, the political and social reality was that the country was in a process of rapid and profound transformation, with the population and emerging political forces assuming the values which characterize a Democratic State, values not yet mirrored in the Constitution. This Constitutional Law intends, then, to provide the country with a useful framework, in its text and in its new model. The option in favor of a Constitution with the basic principles of a pluralistic democracy, abandoning other governmental options, will provide stability to a country weak in resources, and political succession without upheaval. Assuming the principle of popular sovereignty, this Constitutional text consecrates a Democratic State with a vast list of rights, liberties, and guarantees to citizens, the concept of the dignity of the human being as the absolute value which is supreme over the State itself, a system of government with a balance of power between the various national institutions, a strong and independent judiciary, local authorities whose officeholders shall be elected by the communities to whom they are responsible, a Public Administration at the service of the citizens and conceived as an instrument of development, and a system of defense of the Constitution characteristic of a pluralistic democracy. Therefore, this Constitutional Law incorporates the profound political changes at work in the country and fosters institutional conditions for the exercise of power and of citizenship in a climate of liberty, peace, and justice, the basis of all economic, social and cultural development in Cape Verde."
Central African Rep.,2013,0.57,"9,767",5,0.24,3,48,"The Central African People Proud of their national unity, linguistic [unity] and of their ethnic, cultural and religious diversity which contribute to the enrichment of their personality, Convinced of the urgent necessity to preserve national unity and peace, guarantees of economic and social progress, Conscious that only the persistent work as well as the rigorous and transparent management of public affairs [chose] and of the environment can assure a harmonious, rational and durable development, Resolved to build a State of Law founded on a pluralistic democracy, guaranteeing the security of persons and of property, the protection of the most weak, notably vulnerable persons, the minorities, and the full exercise of the fundamental freedoms and rights, Animated by the desire to assure to Man his dignity within respect for the principle of &quot;Zo Kwe Zo&quot; declared by the Founding Father of the Central African Republic, Barthelemy Boganda, Conscious that tolerance and dialogue constitute the foundation [socle] of peace and of national unity, Convinced that universal suffrage is the sole source of the legitimacy of public power, Firmly opposed to the conquest of power by force and by any form of dictatorship and oppression, as well as any act of division and maintenance of hatred, Convinced that it is essential that the Rights of Man will be protected by a regime of law, Convinced of the necessity for political, economic and social African integration at the subregional and regional levels, Desirous to forge ties of amity with all peoples on the basis of the principles of equality, of solidarity, of reciprocal interests and of mutual respect of national sovereignty as well as of territorial integrity, Reiterating their will to cooperate in peace and amity with all States, to work for the African Union in accordance with the Constitutive Act adopted on 12 July 2000, to promote the peaceful regulation of differences between States with respect for Justice, for Equality, for Freedom and for the Sovereignty of Peoples, Reaffirms their adherence to the Charter of the Organization of the United Nations, to the Universal Declaration of the Rights of Man of 10 December 1948, to the International Pacts of 16 December 1966 concerning economic, social and cultural right on the one hand and civil and political rights on the other, Reaffirms its commitment to the African Charter of the Rights of Man and of Peoples of 27 June 1981, Reaffirms its adherence to all International Conventions duly ratified, notably those concerning the prohibition of all forms of discrimination with regard to women as well as those concerning the protection of the rights of the child."
Chad,1996,0.57,"11,768",4,0.38,3,44," Chad, proclaimed a Republic on 28 November 1958, acceded to national and International sovereignty [on] 11 August 1960. Since that date, it has experienced a momentous institutional and political evolution. Years of dictatorship and of [a] single party prevented the emergence of any democratic culture and political pluralism. The different regimes that have succeeded one another have created and entrenched regionalism, tribalism, nepotism, social inequalities, [and] violations of the Rights of Man and of the individual and collective fundamental freedoms, of which the consequences have been war, political violence, hatred, intolerance and mistrust between different communities that compose the Chadian Nation. This institutional and political crisis that has destabilized Chad for more than three decades has only galvanized the determination of the Chadian people to achieve the building of one nation, of dignity, of freedom, of peace and of prosperity. Therefore, the Sovereign National Conference, held at N&#x27;Djaména from 15 January to 7 April 1993, having reunited the political parties, the associations of civil society, the organs of the State , the traditional and religious authorities, the representatives of the rural world and the resources of persons of stature [personalités], have restored confidence within the Chadian people and enabled the opening of a new era. Consequently, We the Chadian People:Affirm by this Constitution our desire to live together with respect for ethnic, religious, regional and cultural diversities, to build a State of law and one united Nation founded on public freedoms and the fundamental rights of Man, the dignity of the human person and political pluralism, on the African values of solidarity and fraternity;Reaffirm our commitment to the principles of the Rights of Man as defined by the Charter of the United Nations of 1945, the Universal Declaration of the Rights of Man of 1948 and the African Charter of the Rights of Man and of Peoples of 1981; Solemnly proclaim our right and our duty to resist and disobey any individual or group of individuals, [and] any organs of the State that would take power by force or exercise it in violation of this Constitution; Affirm our total opposition to any regime of which the policy would be founded on arbitrariness, dictatorship, injustice, corruption, extortion, nepotism, clanism, tribalism, confessionalism and the confiscation of power; Affirm our determination to cooperate in peace and amity with all peoples who share our ideals of freedom, of justice and of solidarity, based on the principles of equality, of reciprocal interests, of mutual respect and of national sovereignty, of territorial integrity and of non-interference; Proclaim our commitment to the cause of African unity and our commitment to do everything possible to realize sub-regional and regional integration; Solemnly adopt this Constitution as supreme law of the State. This  is made an integral part of the Constitution."
Chile,1980,0.67,"25,821",6,0.33,4,46,"We the people of Chile, responsible for her history and future, have drafted this Political Constitution of the Republic of Chile. We have done so in a free and democratic way, exercising the original constituent power that we possess. The goal of this solemn act is to live in peace, justice, and prosperity within our borders and to coexist with all countries and peoples of the world, promoting and respecting the dignity, liberty, equality, solidarity and the fundamental rights of all human beings."
China,1982,0.51,"10,960",2,0.38,2,33,"China is one of the countries with the longest histories in the world. The people of all nationalities in China have jointly created a splendid culture and have a glorious revolutionary tradition. Feudal China was gradually reduced after 1840 to a semi-colonial and semi-feudal country. The Chinese people waged wave upon wave of heroic struggles for national independence and liberation and for democracy and freedom. Great and earth-shaking historical changes have taken place in China in the 20th century. The Revolution of 1911, led by Dr. Sun Yat-sen, abolished the feudal monarchy and gave birth to the Republic of China. But the Chinese people had yet to fulfill their historical task of overthrowing imperialism and feudalism. After waging hard, protracted and tortuous struggles, armed and otherwise, the Chinese people of all nationalities led by the Communist Party of China with Chairman Mao Zedong as its leader ultimately, in 1949, overthrew the rule of imperialism, feudalism and bureaucratic capitalism, won the great victory of the new-democratic revolution and founded the People&#x27;s Republic of China. Thereupon, the Chinese people took state power into their own hands and became masters of the country. After the founding of the People&#x27;s Republic, the transition of Chinese society from a new-democratic to a socialist society was effected step by step. The socialist transformation of the private ownership of the means of production was completed, the system of exploitation of man by man eliminated and the socialist system established. The people&#x27;s democratic dictatorship led by the working class and based on the alliance of workers and peasants, which is in essence the dictatorship of the proletariat, has been consolidated and developed. The Chinese people and the Chinese People&#x27;s Liberation Army have thwarted aggression, sabotage and armed provocations by imperialists and hegemonists, safeguarded China&#x27;s national independence and security and strengthened its national defense. Major successes have been achieved in economic development. An independent and fairly comprehensive socialist system of industry has in the main been established. There has been a marked increase in agricultural production. Significant progress has been made in educational, scientific, cultural and other undertakings, and socialist ideological education has yielded noteworthy results. The living standards of the people have improved considerably. Both the victory of China&#x27;s new-democratic revolution and the successes of its socialist cause have been achieved by the Chinese people of all nationalities under the leadership of the Communist Party of China and the guidance of Marxism-Leninism and Mao Zedong Thought, and by upholding truth, correcting errors and overcoming numerous difficulties and hardships. China will stay in the primary stage of socialism for a long period of time. The basic task of the nation is to concentrate its efforts on socialist modernization along the road of Chinese-style socialism. Under the leadership of the Communist Party of China and the guidance of Marxism-Leninism, Mao Zedong Thought, Deng Xiaoping Theory and the important Theory of &quot;Three Represents,&quot; the Chinese people of all nationalities will continue to adhere to the people&#x27;s democratic dictatorship, follow the socialist road, persist in reform and opening-up, steadily improve socialist institutions, develop a socialist market economy, advance socialist democracy, improve the socialist legal system and work hard and self-reliantly to modernize industry, agriculture, national defense and science and technology step by step, promote the coordinated development of the material, political and spiritual civilizations to turn China into a powerful and prosperous socialist country with a high level of culture and democracy. The exploiting classes as such have been eliminated in our country. However, class struggle will continue to exist within certain limits for a long time to come. The Chinese people must fight against those forces and elements, both at home and abroad, that are hostile to China&#x27;s socialist system and try to undermine it. Taiwan is part of the sacred territory of the People&#x27;s Republic of China. It is the lofty duty of the entire Chinese people, including our compatriots in Taiwan, to accomplish the great task of reunifying the motherland. In building socialism it is imperative to rely on the workers, peasants and intellectuals and unite with all the forces that can be united. In the long years of revolution and construction, there has been formed under the leadership of the Communist Party of China a broad patriotic united front that is composed of democratic parties and people&#x27;s organizations and embraces all socialist working people, all builders of socialism, all patriots who support socialism and all patriots who stand for reunification of the motherland. [As amended by the Fourth Constitutional Amending Law of March 14, 2004] This united front will continue to be consolidated and developed. The Chinese People&#x27;s Political Consultative Conference is a broadly representative organization of the united front, which has played a significant historical role and will continue to do so in the political and social life of the country, in promoting friendship with the people of other countries and in the struggle for socialist modernization and for the reunification and unity of the country. The system of multi-party cooperation and political consultation led by the Communist Party of China will exist and develop in China for a long time to come. The People&#x27;s Republic of China is a unitary multi-national state built up jointly by the people of all its nationalities. Socialist relations of equality, unity and mutual assistance have been established among them and will continue to be strengthened. In the struggle to safeguard the unity of the nationalities, it is necessary to combat big-nation chauvinism, mainly Han chauvinism, and also necessary to combat local-national chauvinism. The state does its utmost to promote the common prosperity of all nationalities in the country. China&#x27;s achievements in revolution and construction are inseparable from support by the people of the world. The future of China is closely linked with that of the whole world. China adheres to an independent foreign policy as well as to the five principles of mutual respect for sovereignty and territorial integrity, mutual non-aggression, non-interference in each other&#x27;s internal affairs, equality and mutual benefit, and peaceful coexistence in developing diplomatic relations and economic and cultural exchanges with other countries; China consistently opposes imperialism, hegemonism and colonialism, works to strengthen unity with the people of other countries, supports the oppressed nations and the developing countries in their just struggle to win and preserve national independence and develop their national economies, and strives to safeguard world peace and promote the cause of human progress. This Constitution affirms the achievements of the struggles of the Chinese people of all nationalities and defines the basic system and basic tasks of the state in legal form; it is the fundamental law of the state and has supreme legal authority. The people of all nationalities, all state organs, the armed forces, all political parties and public organizations and all enterprises and undertakings in the country must take the Constitution as the basic norm of conduct, and they have the duty to uphold the dignity of the Constitution and ensure its implementation."
Colombia,1991,0.76,"46,902",5,0.33,3,76,"The people of Colombia, In the exercise of their sovereign power, represented by their delegates to the National Constituent Assembly, invoking the protection of God, and in order to strengthen the unity of the nation and ensure to its members life, peaceful coexistence, work, justice, equality, understanding, freedom, and peace within a legal, democratic, and participatory framework that may guarantee a just political, economic, and social order and committed to promote the integration of the Latin American community, decree, authorize, and promulgate the following:"
Comoros,2001,0.44,"6,185",5,0.24,1,23," The Comorian people solemnly affirm their willto draw from Islam, the religion of the state, the permanent inspiration of the principles and rules that govern the Union;to guarantee the pursuit of a common destiny of the Comorians; to give themselves new institutions which are founded on the rule of law and democracy, respect the principles of good governance and guarantee a power-sharing between the Union and the islands which are its members in order to allow them to realize their legitimate aspirations, to administer and manage freely, without obstacles, their own affairs and to promote their socio-economic development; to emphasize their commitment to the principles and fundamental rights defined by the Charter of the United Nations, by the Charter of the Organization of African Unity, by the Pact of the League of Arab States, by the Universal Declaration of Human Rights and by the African Charter on Human and Peoples’ Rights, as well as by the international conventions, particularly those relating to childrens’ and womens’ rights. They proclaim:the solidarity between the Union and the islands and among the islands themselves;the equality of the islands concerning rights and duties; the equality of all concerning rights and duties without distinctions based on sex, origin, race, religion or belief; the equality of all before the courts and the right of anyone who is subject to the jurisdiction of the courts to defend himself; the freedom and security of each individual under the sole condition that he does not commit any act likely to harm others; the right to obtain information from a variety of sources and to freedom of the press; freedom of expression and of assembly, freedom of association and freedom to organize trade unions, subject to respect for morals and public order; freedom of enterprise as well as the safety of capital and investments; the inviolability of the domicile in the conditions defined by law; the right to strike within the framework of the laws which regulate it; the guarantee of property rights, save in cases of public utility or necessity determined in accordance with the law and subject to just compensation; the right to health and education for all; the right of the child and of the youth to be protected by the public authorities against any form of abandonment, exploitation and violence; the right to an intact environment and the duty of all to preserve that environment. This  shall be considered an integral part of the Constitution."
Congo,2001,0.6,"9,970",6,0.29,2,55," The morning after the accession of the Congo to the dignity of a sovereign and independent State, a decisive turning point had been taken, notably by the crystallization of the collective hope in the becoming of the Nation. The experiences lived, through the different political regimes that have succeeded one another, as well as those of other Peoples, have led the Congolese People to make the choice of pluralist democracy as the base of the values having to orient the development of the country, to stimulate its moral, cultural and material development and to respond to the collective demand for a social better-being. Also, concerned to work for the enrichment of the universal patrimony common to all the democratic societies around the world and founding ourselves on the socio-cultural values particular to our Country, We, the Congolese People. Proclaim our firm willingness to construct a State of law and a fraternal and solidary Nation; Condemn the coup d’État, the tyrannical exercise of power and the use of political violence, under all its forms, as a means of ascension to power or to its conservation; Adhere to the universal values of peace, of freedom, of equality, of justice, of tolerance, of probity and to the virtues of dialogue, as cardinal references of the new political culture; Reaffirm the sacred character of the human life, the right to property and the right to diversity; Reaffirm, solemnly, our permanent right of inalienable sovereignty concerning all our wealth and our natural resources as fundamental elements of our development; Declare as an integral part of this Constitution the fundamental principles proclaimed and guaranteed by:the United Nations Charter of 24 October 1945the Universal Declaration of the Rights of Man of 10 December 1948; the African Charter of the Rights of Man and of Peoples of 26 June 1981 all the pertinent international texts duly ratified relative to human rights; the Charter of the National Unity and the Charter of the Rights and the Freedoms adopted by the Sovereign National Conference on 29 May 1991. Ordain and establish, for the Congo, this Constitution that enunciates the fundamental principles of the Republic, defines the rights and the duties of the citizens and establishes the forms of organization and the rules of functioning of the State."
"Congo, Dem. Rep.",2005,0.7,"19,285",5,0.38,1,58,"We, the Congolese People, United by destiny and history encompassing the noble ideas of liberty, of fraternity, of solidarity, of justice, of peace and of work; Animated by our common will to build, in the heart of Africa, a State of Law and a powerful and prosperous Nation, founded on a real political, economic, social and cultural democracy; Considering that injustice and its corollaries, impunity, nepotism, regionalism, tribalism, clanism and patronage, by their multiple vicissitudes, are at the origin of the general decline of values and of the ruin of the country; Affirming our determination to protect and to consolidate the national independence and unity with respect for our diversities and for our positive particularities; Reaffirming our adherence and our attachment to the Conventions of the United Nations on the Rights of the Child and on the Rights of Women, particularly to the objective of the parity of man-woman representation within the institutions of the country as well as to the international instruments concerning the protection and promotion of human rights; Moved by the will to see all the African States united and working in concert with a view of promoting and of consolidating African unity through the continental, regional or sub-regional organizations to offer better perspectives of development and of socio-economic progress to the Peoples of Africa; Attached to the promotion of mutually advantageous international cooperation and to the rapprochement of the peoples of the world, with respect to their respective identities and to the principles of sovereignty and of the territorial integrity of each State; Reaffirming our inalienable and imprescriptible right to organize ourselves freely and to develop our political, economic, social and cultural life, following our own genius; Conscious of our responsibilities before God, the Nation, Africa and the World; Solemnly declare to adopt this Constitution."
Costa Rica,1949,0.63,"16,705",5,0.29,1,55,"We, the Representatives of the People of Costa Rica, freely elected Deputies to the National Constituent Assembly, invoking the name of God and reiterating our faith in Democracy, decree and sanction the following:"
Cote d'Ivoire,2000,0.5,"7,897",6,0.33,3,36," The People of Côte d’Ivoire, Conscious of their liberty and national identity, of their responsibility before history and humanity; Conscious of their ethnic, cultural and religious diversity, and desirous to build one nation unified in solidarity and prosperous; Convinced that union with respect for diversity assures economic progress and social well-being; Profoundly attached to constitutional legality and to democratic institutions; Proclaims its adherence to the rights and freedoms as defined in the Universal Declaration of the Rights of Man of 1948 and in the African Charter of the Rights of Man and of Peoples of 1981; Expressing its attachment to democratic values recognized to all, the free people, notably:The respect and the protection of fundamental freedoms, individual as well as collective,The separation and the equilibrium of powers, Transparency in the conduct of public affairs, Committed to the promotion of regional and sub-regional integration, in view of the constitution of African Unity, Gives freely and solemnly as the fundamental law this Constitution adopted by Referendum."
Croatia,1991,0.59,"10,898",6,0.43,4,69,"I Historical Foundations I Historical FoundationsThe millenary identity of the Croatia nation and the continuity of its statehood, confirmed by the course of its entire historical experience within different forms of states and by the preservation and growth of the idea of a national state, founded on the historical right of the Croatian nation to full sovereignty, manifested in:The formation of Croatian principalities in the seventh century;The independent mediaeval state of Croatia founded in the ninth century; The Kingdom of Croats established in the tenth century; The preservation of the identity of the Croatian state in the Croatian-Hungarian personal union; The independent and sovereign decision of the Croatian Parliament (Sabor) of 1527 to elect a king from the Habsburg dynasty; The independent and sovereign decision of the Croatian Parliament of the Pragmatic Sanction of 1712; The conclusions of the Croatian Parliament of 1848 regarding the restoration of the Triune Kingdom of Croatia under the authority of the Banus grounded on the historical, national and natural right of the Croatian nation; The Croatian-Hungarian Compromise of 1868 on the relations between the Kingdom of Dalmatia, Croatia and Slavonia and the Kingdom of Hungary, grounded on the legal traditions of both states and the Pragmatic Sanction of 1712; The decision of the Croatian Parliament of 29 October 1918 to dissolve state relations between Croatia and Austria-Hungary and the simultaneous affiliation of independent Croatia, invoking its historical and natural right as a nation, with the state of Slovenes, Croats and Serbs, proclaimed on the former territory of the Habsburg Monarchy; The fact that the Croatian Parliament had never sanctioned the decision of the National Council of the State of Slovenes, Croats and Serbs to unite with Serbia and Montenegro in the Kingdom of Serbs, Croats and Slovenes (1 December 1918), subsequently (3 October 1929) proclaimed the Kingdom of Yugoslavia; The establishment of the Home Rule (Banovina) of Croatia in 1939, by which Croatian state identity was restored within the Kingdom of Yugoslavia, Establishing the foundations of state sovereignty during the course of the Second World War, by the decisions of the Antifascist Council of National Liberation of Croatia (1943), as opposed to the proclamation of the Independent State of Croatia (1941), and subsequently in the Constitution of the People&#x27;s Republic of Croatia (1947) and all later constitutions of the Socialist Republic of Croatia (1963-1990), on the threshold of the historical changes, marked by the collapse of the communist system and changes in the European international order, the Croatian nation by its freely expressed will at the first democratic elections (1990) reaffirmed its millenniary statehood. By the new Constitution of the Republic of Croatia (1990) and the victory in the Homeland War (1991-1995), the Croatian nation demonstrated its will and determination to establish and defend the Republic of Croatia as a free, independent, sovereign and democratic state. Considering the presented historical facts and universally accepted principles of the modern world, as well as the inalienable and indivisible, non-transferable and non-exhaustible right of the Croatian nation to self-determination and state sovereignty, including its fully maintained right to secession and association, as basic provisions for peace and stability of the international order, the Republic of Croatia is established as the national state of the Croatian nation and the state of the members of autochthonous national minorities: Serbs, Czechs, Slovaks, Italians, Hungarians, Jews, Germans, Austrians, Ukrainians and Ruthenians and the others who are citizens, and who are guaranteed equality with citizens of Croatian nationality and the realization of national rights in accordance with the democratic norms of the United Nations Organization and the countries of the free world. Respecting the will of the Croatian nation and all citizens, resolutely expressed in the free elections, the Republic of Croatia is hereby founded and shall develop as a sovereign and democratic state in which equality, freedoms and human rights are guaranteed and ensured, and their economic and cultural progress and social welfare promoted."
Cuba,1976,0.54,"12,893",3,0.38,1,45,"WE, CUBAN CITIZENS, heirs and continuators of the creative work and the traditions of combativity, firmness, heroism and sacrifice fostered by our ancestors; by the Indians who preferred extermination to submission; by the slaves who rebelled against their masters; by those who awoke the national consciousness and the ardent Cuban desire for an independent homeland and liberty; by the patriots who in 1868 launched the wars of independence against Spanish colonialism and those who in the last drive of 1895 brought them to the victory of 1898, victory usurped by the military intervention and occupation of Yankee imperialism; by the workers, peasants, students, and intellectuals who struggled for over fifty years against imperialist domination, political corruption, the absence of people’s rights and liberties, unemployment and exploitation by capitalists and landowners; by those who promoted, joined and developed the first organization of workers and peasants, spread socialist ideas and founded the first Marxist and Marxist-Leninist movements; by the members of the vanguard of the generation of the centenary of the birth of Martí who, imbued with his teachings, led us to the people’s revolutionary victory of January; by those who defended the Revolution at the cost of their lives, thus contributing to its definitive consolidation; by those who, en masse, accomplished heroic internationalist missions; GUIDED by the ideology of José Martí, and the sociopolitical ideas of Marx, Engels, and Lenin; SUPPORTED by proletarian internationalism, by the fraternal friendship, aid, cooperation, and solidarity of the peoples of the world, especially those of Latin America and the Caribbean; AND HAVING DECIDED to carry forward the triumphant Revolution of the Moncada and the Granma, of the Sierra and of Girón under the leadership of Fidel Castro, which, sustained by the closest unity of all revolutionary forces and of the people, won full national independence, established the revolutionary power, carried out democratic changes, started the construction of socialism and, under the direction of the Communist Party, continues said construction with the objective of building a communist society; AWARE that all the regimes of the exploitation of man by man cause the humiliation of the exploited and the degradation of the human nature of the exploiters; that only under socialism and communism, when man has been freed from all forms of exploitation—slavery, servitude and capitalism—can full dignity of the human being be attained; and that our Revolution uplifted the dignity of the country and of Cubans; WE DECLARE our will that the law of laws of the Republic be guided by the following strong desire of José Martí, at last achieved: “I want the fundamental law of our republic to be the tribute of Cubans to the full dignity of man”; AND ADOPT by means of our free vote in a referendum, the following: CONSTITUTION"
Cyprus,1960,0.53,"37,006",3,0.19,3,52,
Czech Republic,1993,0.6,"14,580",4,0.38,2,57,"We, the citizens of the Czech Republic in Bohemia, in Moravia, and in Silesia, At the time of the restoration of an independent Czech state, Faithful to all good traditions of the long-existing statehood of the lands of the Czech Crown, as well as of Czechoslovak statehood, Resolved to build, safeguard, and develop the Czech Republic in the spirit of the sanctity of human dignity and liberty, As the homeland of free citizens enjoying equal rights, conscious of their duties towards others and their responsibility towards the community, As free and democratic state founded on respect for human rights and on the principles of civic society, As part of the family of democracies in Europe and around the world, Resolved to guard and develop together the natural and cultural, material and spiritual wealth handed down to us, Resolved to abide by all proven principles of state governed by the rule of law, Through our freely-elected representatives, do adopt this Constitution of the Czech Republic."
Denmark,1953,0.53,"6,221",4,0.43,1,21,
Djibouti,1992,0.41,"6,666",4,0.38,1,26,"In the name of God All-Powerful The Djiboutian People solemnly proclaim their attachment to the principles of Democracy and of the Rights of Man as they are defined by the Universal Declaration of the Rights of Man and by the African Charter of the Rights of Man and of Peoples, of which the provisions form an integral part of this Constitution. They affirm their determination to establish a State of Law and of Pluralist Democracy guaranteeing the full enjoyment of the individual and collective rights and freedoms as well as the harmonious development of the national community. They affirm their will to cooperate in peace and amity with all peoples who share their ideals of liberty, of justice and of solidarity, on the basis of mutual respect, of national sovereignty and of territorial integrity."
Dominica,1978,0.54,"36,080",3,0.14,0,38," Whereas the People of Dominica—have affirmed that the Commonwealth of Dominica is founded upon principles that acknowledge the supremacy of God, faith in fundamental human rights and freedoms, the position of the family in a society of free men and free institutions, the dignity of the human person, and the equal and inalienable rights with which all members of the human family are endowed by their Creator; respect the principles of social justice and therefore believe that the operation of the economic system should result in so distributing the material resources of the community as to subserve the common good, that there should be adequate means of livelihood for all, that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit, ability and integrity; have asserted their belief in a democratic society in which all persons may, to the extent of their capacity, play some part in the institutions of the national life and thus develop and maintain due respect for lawfully-constituted authority; recognise that men and institutions remain free only when freedom is founded upon respect for moral and spiritual values and the rule of law; desire that their Constitution should make provision for ensuring the protection in the Commonwealth of Dominica of fundamental human rights and freedoms; Now, Therefore, the following provisions shall have effect as the Constitution of the Commonwealth of Dominica:"
Dominican Republic,2010,0.7,"29,710",6,0.29,4,75,"We, representatives of the Dominican people, free and democratically elected, gathered in the National Revisory Assembly; invoking the name of God; guided by the ideology of our Fathers of the Fatherland, Juan Pablo Duarte, Matias Ramon Mella and Francisco del Rosario Sanchez, and the heroes of the Restoration that established a free, independent, sovereign and democratic Republic; inspired by the examples of the struggles and sacrifices of our immortal heroes and heroines; encouraged by the selfless work of our men and women; ruled by the supreme values and fundamental principles of human dignity, freedom, equality, the rule of law, justice, solidarity, fraternal coexistence, social well being, ecological balance, progress and peace, essential factors for social cohesion; declare our desire to promote the unity of the Dominican Nation, and as such while exercising of our self-determination we adopt and proclaim the following"
Ecuador,2008,0.79,"54,555",7,0.14,2,99,"We women and men, the sovereign people of Ecuador RECOGNIZING our age-old roots, wrought by women and men from various peoples, CELEBRATING nature, the Pacha Mama (Mother Earth), of which we are a part and which is vital to our existence, INVOKING the name of God and recognizing our diverse forms of religion and spirituality, CALLING UPON the wisdom of all the cultures that enrich us as a society, AS HEIRS to social liberation struggles against all forms of domination and colonialism AND with a profound commitment to the present and to the future, Hereby decide to build A new form of public coexistence, in diversity and in harmony with nature, to achieve the good way of living, the sumak kawsay; A society that respects, in all its dimensions, the dignity of individuals and community groups; A democratic country, committed to Latin American integration-the dream of Simon Bolivar and Eloy Alfaro-peace and solidarity with all peoples of the Earth; And, exercising our sovereign powers, in Ciudad Alfaro, Montecristi, province of Manabi, we bestow upon ourselves the present: Constitution of the Republic of Ecuador"
